episode,return
0,18.6
25,22.4
50,22.6
75,19.0
100,12.6
125,19.0
150,21.6
175,16.2
200,23.0
225,23.4
250,25.6
275,40.0
300,33.8
325,36.2
350,55.4
375,55.0
400,64.4
425,61.6
450,98.0
475,66.6
500,94.0
525,92.2
550,162.0
575,295.4
600,143.2
625,196.4
650,223.6
675,576.2
700,297.2
725,350.6
750,338.0
775,255.8
800,414.2
825,233.2
850,278.4
875,238.2
900,279.4
925,282.2
950,361.2
975,466.4
